Codi,Literal,Homes,Dones,Total
439023,Sant Jaume d'Enveja,1775,1777,3552,
082166,Sant Jaume de Frontanyà,17,11,28,
171655,Sant Jaume de Llierca,421,431,852,
431378,Sant Jaume dels Domenys,1369,1297,2666,
171674,Sant Joan de les Abadesses,1613,1637,3250,
171680,Sant Joan de Mollet,248,253,501,
082188,Sant Joan de Vilatorrada,5438,5433,10871,
082172,Sant Joan Despí,16622,17508,34130,
171851,Sant Joan les Fonts,1547,1503,3050,
171668,Sant Jordi Desvalls,391,405,796,
089030,Sant Julià de Cerdanyola,131,104,235,
171693,Sant Julià de Ramis,1818,1794,3612,
082205,Sant Julià de Vilatorta,1566,1586,3152,
179032,Sant Julià del Llor i Bonmatí,667,647,1314,
082212,Sant Just Desvern,9331,10048,19379,
082227,Sant Llorenç d'Hortons,1244,1215,2459,
171714,Sant Llorenç de la Muga,139,128,267,
251930,Sant Llorenç de Morunys,483,502,985,
082233,Sant Llorenç Savall,1262,1252,2514,
082251,Sant Martí d'Albars,53,54,107,
082248,Sant Martí de Centelles,609,577,1186,
171729,Sant Martí de Llémena,340,323,663,
259025,Sant Martí de Riucorb,341,308,649,
082264,Sant Martí de Tous,634,602,1236,
082270,Sant Martí Sarroca,1616,1670,3286,
082286,Sant Martí Sesgueioles,182,162,344,
171735,Sant Martí Vell,130,114,244,
082299,Sant Mateu de Bages,315,299,614,
171740,Sant Miquel de Campmajor,134,109,243,
171753,Sant Miquel de Fluvià,390,365,755,
171766,Sant Mori,78,79,157,
171772,Sant Pau de Segúries,359,366,725,
082310,Sant Pere de Ribes,15727,15798,31525,
